,country,description,designation,points,price,province,region,taster_name,title,variety,winery
2558,US,"This off-dry Riesling boasts pretty fresh apple and floral notes on the palate, but persisting notes of dried herbs and spring ramps distract. Sprightly on the palate with delicate lemon acidity.",1st Degree Medium Dry,83,16.0,New York,Seneca Lake,Anna Lee C. Iijima,Four Degrees of Riesling 2012 1st Degree Medium Dry Riesling (Seneca Lake),Riesling,Four Degrees of Riesling
2559,US,"Jasmine and orange blossom dot the nose of this nicely made wine, a variety not often found in California. Apple rind defines the crisp, mineral-laden experience, focused and clear in its rocky texture of wet stone.",,90,28.0,California,Carneros,Virginie Boone,Artesa 2015 Albariño (Carneros),Albariño,Artesa
2560,Italy,"A blend of Nero d'Avola, Merlot, Cabernet Sauvignon and Syrah, this easy-drinking wine opens with aromas of ripe black fruit, blue flower, graphite and whiffs of exotic spice. The round, juicy palate delivers black cherry, blackberry, ground black pepper and charred notes alongside light tannins and soft acidity. Drink through 2016.",C'D'C',87,18.0,Sicily & Sardinia,Terre Siciliane,Kerin O’Keefe,Baglio del Cristo di Campobello 2013 C'D'C' Red (Terre Siciliane),Red Blend,Baglio del Cristo di Campobello
2561,US,"This is a classic Napa Valley floor Cabernet, enhanced with handfuls of Petit Verdot and Merlot. Dusty in red currant and herb, it offers mellowed tannins and a peppery underbelly.",Estate Grown,89,60.0,California,Napa Valley,Virginie Boone,Grgich Hills 2011 Estate Grown Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Grgich Hills
2562,France,"Following on from the great 2002 vintage of this wine, the 2004 is equally memorable. It is a magnificent wine, structured and beautifully balanced between the ripe white fruits and the tight texture that will allow it to age many years. While drinkable now, it is still young at 11 years, still with great potential. Drink now, until 2024, and probably beyond.",Cuvée Sir Winston Churchill Brut,97,305.0,Champagne,Champagne,Roger Voss,Pol Roger 2004 Cuvée Sir Winston Churchill Brut  (Champagne),Champagne Blend,Pol Roger
2563,US,"This wine presents an interesting mix of herbal, citrus and stone-fruit components. Lemon pepper and grapefruit, with a touch of Satsuma orange, all stand out. A slick lick of caramel carries on the finish.",Grower Series,90,20.0,Oregon,Willamette Valley,Paul Gregutt,Argyle 2015 Grower Series Chardonnay (Willamette Valley),Chardonnay,Argyle
2564,Portugal,"Produced from a field blend of old vines, this is a powerful and dense wine. The fermentation, with traditional foot treading in stone fermenters, gives the wine its extra richness and density. The wood aging shows in the smoothness of the tannins that are enhanced by the rich black fruits. Drink from 2018.",Reserva,93,55.0,Douro,,Roger Voss,Quinta da Foz 2013 Reserva Red (Douro),Portuguese Red,Quinta da Foz
2565,France,"Produced from a 40-year-old densely planted vineyard this wine is the epitome of crisp, light and fruity Beaujolais. Cherries and a touch of spice are cut with acidity. The structure is light, just right for such a lively wine from Xavier and Nicolas Barbet.",Barbet Beau!,86,10.0,Beaujolais,Beaujolais,Roger Voss,Loron et Fils 2015 Barbet Beau!  (Beaujolais),Gamay,Loron et Fils
2566,Germany,"Pristine orange blossom and tangerine hints turn riper and richer on the palate in this delicately honeyed Riesling. It's lively and deft in mouthfeel, with sweet yellow cherry and peach flavors that dart on the midpalate. A sun-filled yet gorgeously balanced wine, it's calibrated by scintillating acidity and a mineral sheen on the finish.",Bernkasteler Lay Auslese,93,38.0,Mosel,,Anna Lee C. Iijima,Dr. H. Thanisch (Erben Müller-Burggraef) 2015 Bernkasteler Lay Auslese Riesling (Mosel),Riesling,Dr. H. Thanisch (Erben Müller-Burggraef)
2567,Chile,"Smoke and a refreshing minty note open this Casablanca Valley Pinot. Black cherry and plum flavors are backed by smoke and syrupy molasses notes. Mouthfeel is on the rich side; finishes with modest tannins and spicy, briary flavors.",,85,11.0,Casablanca Valley,,,Morandé 2001 Pinot Noir (Casablanca Valley),Pinot Noir,Morandé
2568,US,"Mineral, mulberry, dried herb and black-fruit aromas lead to layered dark-fruit flavors that show intensity as well as exceptional balance. This has a delicious factor that is impossible to ignore.",Arnaut Boushey Vineyard,92,50.0,Washington,Yakima Valley,Sean P. Sullivan,Avennia 2013 Arnaut Boushey Vineyard Syrah (Yakima Valley),Syrah,Avennia
2569,Italy,"Pretty aromas of underbrush, crushed blue flower and perfumed berries lead the nose on this robust Rosso. The dense palate delivers succulent black cherry, raspberry, mocha and sweet cake spices alongside firm tannins. It's not an ager so enjoy soon.",,90,18.0,Tuscany,Rosso di Montalcino,Kerin O’Keefe,Baricci 2012  Rosso di Montalcino,Sangiovese,Baricci
2570,US,"This wine comes from some of the oldest vines in the valley, planted in 1977. Aromas of pear, hay and hazelnut lead to stone-fruit and butterscotch flavors that are light and elegant in style with a very pretty sense of balance.",Estate,91,66.0,Washington,Walla Walla Valley (WA),Sean P. Sullivan,Woodward Canyon 2013 Estate Chardonnay (Walla Walla Valley (WA)),Chardonnay,Woodward Canyon
2571,US,"This 100% varietal wine shines with high-toned red currant and raspberry flavors, exhibiting bright acidity on the moderately built palate. Tight-grained tannin provides structure, balancing the emphatic fruit.",Thirty Six,92,85.0,California,Napa Valley,Virginie Boone,Vineyard 36 2013 Thirty Six Cabernet Sauvignon (Napa Valley),Cabernet Sauvignon,Vineyard 36
2572,US,"If you prefer your California Chards on the minerally side instead of the flamboyant, superripe style, try this one. With its stony or metallic and citrus-inspired flavors and extreme dryness at low alcohol, it can be described as Chablisian. Hard to believe the oak is 100% new, as it doesn't taste oaky despite the streamlined profile.",Cupa Grandis,91,45.0,California,Paso Robles,,EOS 2006 Cupa Grandis Chardonnay (Paso Robles),Chardonnay,EOS
2573,France,"This wine is coming into balance with wood, acidity and fruit all present. It has a dusty tannic character that's attractive and acts as a good base for the blackberry flavors. The wine will develop quickly, so drink from 2018. Laurent and Sophie Cisneros bought Rouillac with a focus: eliminate chemical pesticides and herbicides. They built a barrel cellar to environmental European standards. The vineyard is 60 acres Cabernet Sauvignon and Merlot, with five acres of white grapes. Eric Boissenot consults.",,90,,Bordeaux,Pessac-Léognan,Roger Voss,Château de Rouillac 2013  Pessac-Léognan,Bordeaux-style Red Blend,Château de Rouillac
2574,Portugal,"With a few years of age and three years in wood, this wine has become rich, full of concentration and delicious. It has weight and opulent black fruits to go with its fresh acidity. It's an elegant, smoothly textured wine, finishing with some dry tannins. Drink now.",Clássico Garrafeira,91,30.0,Bairrada,,Roger Voss,Messias 2010 Clássico Garrafeira Baga (Bairrada),Baga,Messias
2575,US,"This sweet wine has a deep yellow-gold color and enticing aromas of honey, apricot and toasted almonds. Full bodied, it offers vibrant flavors like pineapple and apricot. Almost electrifyng acidity keeps the sweetness from being cloying and propels the layers of flavor to a lingering finish. It will continue to improve through at least 2026.",Estate Late Harvest,94,25.0,California,Anderson Valley,Jim Gordon,Husch 2013 Estate Late Harvest Gewurztraminer (Anderson Valley),Gewürztraminer,Husch
2576,US,"100% varietal from one of Washington's most esteemed vineyards, it's tightly wound and slow to reveal its charms. Notes of clove, woodspice, raspberry and cherry re supported by firm, slightly dry tannins that need time to soften.",Champoux Vineyard,91,55.0,Washington,Horse Heaven Hills,Sean P. Sullivan,Fidelitas 2010 Champoux Vineyard Merlot (Horse Heaven Hills),Merlot,Fidelitas
2577,US,"This well-made, crisply styled wine is zesty in lime and stony minerality, with a background grasp of the sea. Briny, it has well-manicured layers of toasty oak, green apple and persistent acidity—a wise choice for the table.",Fort Ross Vineyard,92,44.0,California,Fort Ross-Seaview,Virginie Boone,Fort Ross 2014 Fort Ross Vineyard Chardonnay (Fort Ross-Seaview),Chardonnay,Fort Ross
2578,France,"Fresh strawberry flavors, followed by some vanilla and sweet acidity characterize this wine from the Lagrezette winery. With its blend of Malbec, Syrah and white Viognier, this has softness, ripeness and, despite its acidity, a definite sweet finish.",Zette Rosé,84,12.0,Southwest France,Vin de Pays du Lot,Roger Voss,Château Lagrézette 2007 Zette Rosé Malbec (Vin de Pays du Lot),Malbec,Château Lagrézette
2579,France,This wine has a herbal character that doesn't mesh with the lightly tannic and tangy structure. The effect is of a wine that comes from grapes that were too green.,Château Larroque,82,14.0,Bordeaux,Bordeaux Rosé,Roger Voss,VIgnobles Ducourt 2015 Château Larroque Rosé (Bordeaux Rosé),Rosé,VIgnobles Ducourt
2580,Austria,"Old vines—in this case with an average age of 50 years—give an extra concentration to this impressively rich wine. It is full of beautifully ripe apple and apricot fruit flavor, with a great zing of acidity. Age for a year. Screwcap.",Alte Reben,90,,Niederösterreich,,Roger Voss,Ebner-Ebenauer 2010 Alte Reben Grüner Veltliner (Niederösterreich),Grüner Veltliner,Ebner-Ebenauer
2581,Italy,"A consistent producer, Silvio Nardi delivers a bright, fresh Rosso, bursting with notes of cherry, raspberry and white chocolate. This is a food-friendly wine that would match up nicely with breaded veal or mushroom risotto.",,88,27.0,Tuscany,Rosso di Montalcino,,Tenute Silvio Nardi 2010  Rosso di Montalcino,Sangiovese Grosso,Tenute Silvio Nardi
2582,Germany,"Zesty lime pith and lemon notes abound in this lively off-dry Riesling. It's feather-light in body yet radiant, offering loads of pristine tangerine and apricot flavors. It's juicy and approachable yet effortlessly elegant. A widely appealing sip to enjoy from now to 2021.",Hattenheim Schützenhaus Kabinett,91,19.0,Rheingau,,Anna Lee C. Iijima,Balthasar Ress 2015 Hattenheim Schützenhaus Kabinett Riesling (Rheingau),Riesling,Balthasar Ress
2583,US,"A wondrously rich and extracted nose combines layers of brown spice, dried black cherries, fragrant violets and lilacs with concentrated, almost pruney purple fruit. That ripeness expertly pairs on the palate with strong tannic structure and sparkling acidity, allowing the blackberry, blueberry, caramel and lavender notes to shine without cloying.",Gabilan Mountains,93,44.0,California,Monterey County,Matt Kettmann,Big Basin 2012 Gabilan Mountains G-S-M (Monterey County),G-S-M,Big Basin
2584,France,"The wine is spicy and with toasty wood flavors. It has acidity and red fruits that are still developing. As the wood becomes better integrated, it will become rich and fruity.",,85,11.0,Bordeaux,Bordeaux Supérieur,Roger Voss,Château Roc de Levraut 2015  Bordeaux Supérieur,Bordeaux-style Red Blend,Château Roc de Levraut
2585,France,Well structured wine with plenty of ripe fruit. The freshness of fruit is replaced by spice and peach flavors.,Le Clos,90,57.0,Burgundy,Pouilly-Fuissé,Roger Voss,Château de Fuissé 2008 Le Clos  (Pouilly-Fuissé),Chardonnay,Château de Fuissé
2586,US,"A site planted to the Rued clone of Chardonnay in classic Russian River Valley Goldridge soils, Searby is expressive in honeysuckle and orange blossom floral tones. This balanced wine is soft and round, its time in oak reaching an apex on the finish.",Searby Vineyard,87,55.0,California,Russian River Valley,Virginie Boone,Migration 2012 Searby Vineyard Chardonnay (Russian River Valley),Chardonnay,Migration
2587,Italy,This rich expression of Nerello Mascalese (a grape native to Sicily's Mount Etna) offers thick density and extraction followed by fresh notes of berry fruit and spice. It ends with chewy tannins and bright cherry flavors.,Barbazzale,88,16.0,Sicily & Sardinia,Sicilia,,Cottanera 2007 Barbazzale Nerello Mascalese (Sicilia),Nerello Mascalese,Cottanera
2588,US,"This GSM blend is oak-forward, with charred black and red berries meeting dark coffee on the nose and palate. Medium bodied with a mild tannic grip, enjoy alongside a coffee-rubbed rib eye.",,84,26.0,Texas,Texas,Alexander Peartree,Pedernales 2014 G-S-M (Texas),G-S-M,Pedernales
2589,Italy,"Fruity white peach and pineapple aromas follow through to the fresh palate, with orange zest and a hint of grapefruit. Lingering nutmeg spice marks the finish.",,88,21.0,Northeastern Italy,Alto Adige,Kerin O’Keefe,Kettmeir 2016 Müller-Thurgau (Alto Adige),Müller-Thurgau,Kettmeir
2590,US,"Simple and cloying in white sugar notes. Too bad, because there's good acidity and succulent citrus and tropical fruit flavors.",Swallowtail,82,25.0,California,Russian River Valley,,Truett Hurst 2011 Swallowtail Chardonnay (Russian River Valley),Chardonnay,Truett Hurst
2591,France,Fresh fruit and lively raspberry juice flavors are totally up to the minute. The attractive orange-pink color emphasizes the ripe character of the wine's fruitiness.,Tradition,89,16.0,Provence,Côtes de Provence,Roger Voss,Château Saint-Pierre 2014 Tradition Rosé (Côtes de Provence),Rosé,Château Saint-Pierre
2592,Argentina,Plump tropical fruit aromas show on the nose. A fruity but not complex palate deals short melon and tropical-fruit flavors prior to a briny finish.,Cameleon Made With Organic Grapes,85,14.0,Mendoza Province,Tupungato,Michael Schachner,Domaine Bousquet 2017 Cameleon Made With Organic Grapes Chardonnay (Tupungato),Chardonnay,Domaine Bousquet
2593,Italy,"Straightforward and accessible, this has delicate aromas of red berry and kitchen spice. The firm, no-frills palate offers dried cherry, tart cranberry, sage and clove alongside solid tannins. Enjoy through 2019.",,87,35.0,Piedmont,Barbaresco,Kerin O’Keefe,Castel Boglione 2012  Barbaresco,Nebbiolo,Castel Boglione
2594,US,"This is a three-barrel reserve, principally Pommard clone, and vinified with minimal handling. Cherry/berry fruit comes with ample acidity. The alcohol, though just at the high end of moderate, seems to mute some of the details. Notes indicate that no additions were made, but the finish remains a bit chalky.",Zenith Vineyard,88,34.0,Oregon,Eola-Amity Hills,Paul Gregutt,Franchere 2014 Zenith Vineyard Pinot Noir (Eola-Amity Hills),Pinot Noir,Franchere
2595,France,Fresh red fruits are smoothed out with caramel and spice flavors that give a ripe feel to this wine. It's light and ready to drink.,,85,,Loire Valley,Sancerre,Roger Voss,Le Roi des Pierres 2014 Rosé (Sancerre),Rosé,Le Roi des Pierres
2596,US,"Cedarville takes a lot of pride in its Cab, and this definitely screams mightily of its mountain, granite-soiled origins, with a rich mouthfeel and rocky minerality. Fully fruity, though restrained, this Cab has plenty of leathery plushness in the midpalate ending with a finale of dense, dark chocolate.",Estate,89,29.0,California,El Dorado,Virginie Boone,Cedarville Vineyard 2007 Estate Cabernet Sauvignon (El Dorado),Cabernet Sauvignon,Cedarville Vineyard
2597,US,There's a burnt toast quality on the nose of this otherwise soft Barbera and a lingering aftertaste of that same toast.,Bellezza Fra,82,25.0,California,Lodi,Virginie Boone,Sorelle Winery 2011 Bellezza Fra Barbera (Lodi),Barbera,Sorelle Winery
2598,Chile,"Baked apple, pulpy citrus and oak aromas create a soft nose. In the mouth, this feels wide and resiny, and the flavors match that lead: oak, resin, vanilla, tropical fruit and citrus are all registering. On the finish, this is oaky and resiny.",Alpha,87,25.0,Casablanca Valley,,Michael Schachner,Montes 2011 Alpha Chardonnay (Casablanca Valley),Chardonnay,Montes
2599,US,"The producer continues to up its game with this refined, cool-climate red that doesn't dare skimp on power and flavor. Herby, floral and elusive in waves, it's also voluptuously spicy and totally youthful in its big, dry tannin imprint.",Estate Vineyard,91,39.0,California,Sonoma Coast,Virginie Boone,Gundlach Bundschu 2013 Estate Vineyard Pinot Noir (Sonoma Coast),Pinot Noir,Gundlach Bundschu
2600,Italy,"Dark and concentrated in appearance, this hearty Aglianico opens with tones of spice and smoked bacon backed by black fruit, tobacco and dark leather. The overall package is very enticing and that wine is softer and smoother than most other expressions of this firmly tannic grape.",,88,22.0,Southern Italy,Irpinia,,Donnachiara 2007 Aglianico (Irpinia),Aglianico,Donnachiara
2601,US,"Made in a restrained, elegant style, with modulated blackberry, currant and herb flavors balanced with oak. Dry, supple and polished, this young wine needs a year or two in the cellar to gain complexity.",,88,25.0,California,Napa Valley,,Clos du Val 2000 Merlot (Napa Valley),Merlot,Clos du Val
2602,France,"Bright red fruits in this attractive cherry and banana flavored wine. It has a soft tannic edge, laced with acidity and finishing spice.",Nouveau,86,12.0,Beaujolais,Beaujolais,Roger Voss,Paul Durdilly 2011 Nouveau  (Beaujolais),Gamay,Paul Durdilly
2603,France,"This opulent, ripe wine comes from a single vineyard. It has a rich texture, with dense yellow and apple fruits that are allied to a more citrus, gooseberry and lemon character. It rolls around the mouth with a smooth, satisfying aftertaste.",Chambrates,94,70.0,Loire Valley,Sancerre,Roger Voss,Domaine Vacheron 2012 Chambrates  (Sancerre),Sauvignon Blanc,Domaine Vacheron
2604,US,"This has flavors of cherry and blackberry jam, cola and spice. It's crisp in acidity and dry, as Pinot should be. This is direct and polished; it's not likely to get better with age, so drink now.",Devoto Garden Vineyard,87,27.0,California,Green Valley,,Wait Cellars 2009 Devoto Garden Vineyard Pinot Noir (Green Valley),Pinot Noir,Wait Cellars
2605,Italy,"Alluring violet, perfumed berry, truffle and Mediterrenean herb aromas emerge in the glass. The palate is firm and packed with black cherry, raspberry and licorice flavors, with assertive, fine-grained tannins that give the finish grip. Give it time to fully develop. Drink after 2020.",Vigna d'Alfiero,92,45.0,Tuscany,Vino Nobile di Montepulciano,Kerin O’Keefe,Tenuta Valdipiatta 2013 Vigna d'Alfiero  (Vino Nobile di Montepulciano),Sangiovese,Tenuta Valdipiatta
2606,France,"This Chardonnay is minerally and dry, and it has taut acidity and structured quince fruit. The finish is crisp.",,86,30.0,Burgundy,Pouilly-Fuissé,Roger Voss,Jaffelin 2010  Pouilly-Fuissé,Chardonnay,Jaffelin
2607,US,"Blueberries, plums, and especially cherries, with a lovely, soft, beguiling bouquet of rose blossoms and chocolate. Crisply structured, with tight fruit, soft tannins, and a medium-weight, extended finish.",Seven Hills Vineyard,89,25.0,Washington,Walla Walla Valley (WA),Paul Gregutt,Seven Hills 1997 Seven Hills Vineyard Merlot (Walla Walla Valley (WA)),Merlot,Seven Hills
2608,Italy,"Made entirely with Sangiovese, this offers aromas of spicy plum, violet, blackberry, toast and a whiff of oak-driven spice. The firmly structured palate delivers black cherry, clove, anise and a note of grilled sage alongside assertive tannins that leave an astringent finish. Give it time to unwind. Drink 2017–2025.",Asinone,90,60.0,Tuscany,Vino Nobile di Montepulciano,Kerin O’Keefe,Poliziano 2012 Asinone  (Vino Nobile di Montepulciano),Sangiovese,Poliziano
2609,Portugal,This is a young fruity wine. It has attractive red-berry fruits and gentle tannins that are surrounded by the comfortable full-bodied texture. It's a wine to drink now.,Herdade da Fonte Coberta Ouro do Monte,85,8.0,Alentejano,,Roger Voss,Santos & Santos 2016 Herdade da Fonte Coberta Ouro do Monte Red (Alentejano),Portuguese Red,Santos & Santos
2610,US,"Delicate lavender and herb notes perfume this pretty off-dry wine. It's delicate in profile, but flavors of tart yellow stone fruit and blossom gain intensity on the palate with a streak of lemon-lime acidity. It concludes with a refreshing mineral tone.",Semi-dry,88,18.0,New York,Finger Lakes,Anna Lee C. Iijima,Silver Thread 2012 Semi-dry Riesling (Finger Lakes),Riesling,Silver Thread
2611,Italy,"This blend of 70% Montepulciano and 30% Sangiovese is bright and approachable. It opens with pretty aromas of red cherry and blue flower that carry over to the palate, along with white pepper and a hint of tobacco leaf. Juicy and extremely accessible, enjoy this now.",Del Pozzo Buono,87,18.0,Central Italy,Rosso Piceno,Kerin O’Keefe,Vicari 2011 Del Pozzo Buono  (Rosso Piceno),Red Blend,Vicari
2612,US,"From a vineyard located at 1,700 feet with a western exposure, this single-vineyard expression offers candied red plum, clove, lilac, wet slate and dust on the nose. The palate is very tart, with cranberry and raspberry fruit lifted by fennel spice.",Nelson Family Vineyard,92,50.0,California,Santa Cruz Mountains,Matt Kettmann,Thomas Fogarty 2013 Nelson Family Vineyard Pinot Noir (Santa Cruz Mountains),Pinot Noir,Thomas Fogarty
2613,US,"Among all the latest 2009 releases from Andrew Will, the Ciel du Cheval is the most shuttered and in need of further bottle age. Tight and tannic, it is unusually herbal for this hot climate site. Even after many hours of breathing time, it remains stubbornly closed. Given the vineyard history and winery credentials, it seems highly likely to improve significantly with more time.",Ciel du Cheval Vineyard,88,55.0,Washington,Red Mountain,Paul Gregutt,Andrew Will 2009 Ciel du Cheval Vineyard Red (Red Mountain),Bordeaux-style Red Blend,Andrew Will
2614,France,"Off-dry and fruity, this is a bright, lively rosé. It has a soft texture, aromatic from the Grolleau in the blend and with light acidity at the end. Drink now.",Passeport,84,10.0,Loire Valley,Rosé d'Anjou,Roger Voss,Barton & Guestier 2013 Passeport  (Rosé d'Anjou),Rosé,Barton & Guestier
2615,France,"The blend, dominated by Grenache, produces a ripe wine. It is softly textured, full of red berries and the typical edge of pepper from the Grenache. There is a juicy spicy aftertaste. Drink now.",Tradition,88,20.0,Provence,Côtes de Provence,Roger Voss,Château Barbeiranne 2016 Tradition Rosé (Côtes de Provence),Rosé,Château Barbeiranne
2616,US,"A Rhône blend, based on Mourvèdre and Syrah, that's sweet and direct in jammy berry and spice flavors. It's also pretty sweet in toasted oak. Drink now.",Coriol,84,28.0,California,Sonoma Valley,,Anaba 2009 Coriol Red (Sonoma Valley),Red Blend,Anaba
2617,US,"A heavy, oaky Chardonnay whose tropical fruit and vanilla flavors are dull.",,82,23.0,California,Santa Barbara County,,Frisby 2009 Chardonnay (Santa Barbara County),Chardonnay,Frisby
2618,Australia,"A consistent performer, Yalumba's Hand Picked Shiraz-Viognier seems slightly bigger and chunkier in 2008 than in the past, with bold fruit—blueberries and blackberries—accented by hints of mint. Expect some savory notes to develop over the next couple of years in bottle.",Hand Picked,92,31.0,South Australia,Barossa,Joe Czerwinski,Yalumba 2008 Hand Picked Shiraz-Viognier (Barossa),Shiraz-Viognier,Yalumba
2619,US,"It's a treat to taste this varietal that is so popular in Italy, but rarely bottled by California wineries. This is a big-impact wine that is not overly full bodied. It is dark colored, full of dark-fruit flavors like blackberry and black fig, and moderately tannic but also fresh and lively.",,88,28.0,California,Mendocino County,Jim Gordon,Monte Volpe 2013 Montepulciano (Mendocino County),Montepulciano,Monte Volpe
2620,Italy,"This brawny, earthy 11-year-old opens with aromas of leather, game, tobacco, graphite and mature plum. Given its age, it's surprisingly youthful, displaying dried dark cherry, fig, prune, black pepper and tobacco flavors alongside an assertive, tannic backbone. Drink through 2018.",Exubera,90,100.0,Central Italy,Montefalco Sagrantino,Kerin O’Keefe,Terre de la Custodia 2003 Exubera  (Montefalco Sagrantino),Sagrantino,Terre de la Custodia
2621,US,"Tropical fruit, peach, pear, green apple and lime flavors mark this fruity Chardonnay. It has prominent vanilla and buttered toast flavors, with a nice hit of acidity for balance.",Red Label,85,25.0,California,Napa County,,Newton 2012 Red Label Chardonnay (Napa County),Chardonnay,Newton
2622,France,"Sauvignon Blanc, yes, but it's a round, tropical fruit style of Sauvignon. It gives a rich texture and and a warm feel to the wine, reinforced by its soft aftertaste. It's ready to drink now.",Cuvée Jeanne,85,12.0,Southwest France,Côtes de Gascogne,Roger Voss,Tortoise Creek 2013 Cuvée Jeanne Sauvignon Blanc (Côtes de Gascogne),Sauvignon Blanc,Tortoise Creek
2623,Argentina,"Floral aromas of violet and black fruits include an oak-driven scent of plastic. In the mouth, this PV is plump and widespread, maybe even a bit flabby. Flavors of salty, leafy, spicy berry and black cherry are dry, meaty and toasty on the finish, with subtle tannins. Drink through 2016.",Remolinos Vineyard Mini Ediciones,89,38.0,Mendoza Province,Mendoza,Michael Schachner,Finca Decero 2011 Remolinos Vineyard Mini Ediciones Petit Verdot (Mendoza),Petit Verdot,Finca Decero
2624,US,"Lush aromas of black cherry, vanilla, kola nut and blackberry fudge pack lots of action into this bottling. The palate confirms the complexity, with blueberry and black cherry backed by pipe tobacco, dried marjoram and a pencil lead-driven structure.",,88,9.0,California,Paso Robles,Matt Kettmann,Outlander 2013 Meritage (Paso Robles),Meritage,Outlander
2625,US,"A blend of Grenache, Mourvèdre, Syrah and Counoise, this wine brings an intriguing assortment of red and blue jammy fruit, herbs, cranberry and peppery spices. Reflective of the warm vintage it comes from, it's ripe, full bodied and in a sweet spot. Drink now.",Sirocco,90,28.0,Washington,Yakima Valley,Sean P. Sullivan,McCrea 2009 Sirocco Red (Yakima Valley),Rhône-style Red Blend,McCrea
2626,Spain,"This is deep and fruity up front, with blackberry and cola aromas that come with creamy oak and offsetting minerality. Full and jammy on the palate, with flavors of blackberry, fine herbs and lightly applied molasses. Round and concentrated on the finish. Drink now through 2016.",Barranc dels Closos,91,25.0,Catalonia,Priorat,Michael Schachner,Mas Igneus 2009 Barranc dels Closos Red (Priorat),Red Blend,Mas Igneus
2627,US,"Cinnamon and other brown spices meet with iron, turned earth and dried cranberry for a slightly funky and sour nose. The palate offers a plush red-cherry flavor at first, followed by an earthy pencil-lead-driven note. Tart raspberry and graphite minerality emerge in the midpalate, followed by loam and coffee grinds toward the finish.",Upper Bench,90,38.0,California,Santa Lucia Highlands,Matt Kettmann,E16 2013 Upper Bench Pinot Noir (Santa Lucia Highlands),Pinot Noir,E16
2628,Italy,"Aromas of pressed yellow flowers, dried apricot, tropical fruit and a pastry note emerge on this luminous wine. The elegant palate delivers ripe Golden Delicious apple, toasted almond and a yeasty note of bread crust alongside an ultrafine perlage and tangy acidity. A hint of citrus zest closes the lingering finish.",Riserva Graal Metodo Classico Brut,91,45.0,Northeastern Italy,Trento,Kerin O’Keefe,Altemasi 2007 Riserva Graal Metodo Classico Brut Sparkling (Trento),Sparkling Blend,Altemasi
2629,Italy,"Made from Viognier, this wine has apricot and spice aromas. The palate delivers yellow peach, citrus and honey notes and has a dry, nutty finish. Pair this with lobster and mildly seasoned fish dishes.",Vento Teso,87,,Tuscany,Toscana,Kerin O’Keefe,Terre di Talamo 2012 Vento Teso Viognier (Toscana),Viognier,Terre di Talamo
2630,South Africa,"A light barnyard note is accompanied by grilled meat, red plum and tobacco that carries to the palate. The acidity is somewhat spritzy and the tannins are sheer, so this is very juicy and suited to everyday fare.",,86,10.0,Breede River Valley,,,Rawson's 2002 Shiraz (Breede River Valley),Shiraz,Rawson's
2631,US,"Despite appealing raspberry and cherry-pie filling, cola and spice notes, this Pinot is a bit hard and even green, with some tomato notes. The acidity is brisk, the tannins thick. Give it 4–6 years in the cellar, and it is likely to develop over a decade.",Selleck Vineyard,90,75.0,California,Mt. Harlan,,Calera 2007 Selleck Vineyard Pinot Noir (Mt. Harlan),Pinot Noir,Calera
2632,US,"The best value among all of Bergevin Lane's 2008 Syrahs, this rich and smoky effort spent 20 months in oak. Sourced from Stone Tree and Francisca's vineyards, it has tight, ripe berry flavors and beautifully manicured tannins.",She-Devil,91,22.0,Washington,Columbia Valley (WA),Paul Gregutt,Bergevin Lane 2008 She-Devil Syrah (Columbia Valley (WA)),Syrah,Bergevin Lane
2633,US,"This red wine might just make you purr with satisfaction. It delivers everything you want in a Merlot. It's dry, but soft, with plush tannins and rich flavors ranging from red cherries and currants to cocoa, violets and cedar.",Pocai Vineyard,90,25.0,California,Napa Valley,,Ballentine 2010 Pocai Vineyard Merlot (Napa Valley),Merlot,Ballentine
2634,US,"Being 100% varietal, aromas of barrel spice are prominent at present, followed by black fruit. The fruit flavors are sweet but still lighter in style, with lightly grainy tannins backing them up. It's surprisingly restrained considering the warmth of the vintage and region.",Blackwood Canyon,88,60.0,Washington,Red Mountain,Sean P. Sullivan,Fidelitas 2014 Blackwood Canyon Cabernet Sauvignon (Red Mountain),Cabernet Sauvignon,Fidelitas
2635,US,"This is fruit-powered Riesling, finished dry but with a touch of residual sugar to soften the acids. Apple and Meyer lemon fruit flavors intermingle, sporting abundant, juicy natural acidity.",Nuthouse,91,30.0,Oregon,Eola-Amity Hills,Paul Gregutt,Argyle 2014 Nuthouse Riesling (Eola-Amity Hills),Riesling,Argyle
2636,US,"In 2011 the alcohol drops a bit and the fruit comes forward, stepping slightly away from the strongly herbal flavors of the 2010. It's reflective of the vintage, and perhaps more immediately approachable, without sacrificing any of the complexity or structure that typifies Gramercy wines. Strongly aromatic flavors of blackberry, black cherry, cola and licorice are all in play, backed with refreshing minerality. The wine should age beautifully for a decade or more.",,94,50.0,Washington,Walla Walla Valley (WA),Paul Gregutt,Gramercy 2011 Syrah (Walla Walla Valley (WA)),Syrah,Gramercy
2637,Portugal,"From the Quinta da Aguieira, this serious, concentrated wine has the violet perfume typical of Touriga Nacional. It is a rich, dense and tannic wine, full of black fruit, dark chocolate and bright acidity. Drink this wine from late 2018.",Follies Casa da Aguieira,92,14.0,Bairrada,,Roger Voss,Aveleda 2015 Follies Casa da Aguieira Touriga Nacional (Bairrada),Touriga Nacional,Aveleda
